metric,value
Year=2018,299233
Year=2015,105278
Year=2022,587039
Year=2013,44894
Year=2014,72689
Year=2019,515625
Year=2020,697723
Year=2012,26854
Year=2016,145810
Year=2010,4727
Year=2011,14923
Year=2017,218829
Year=2021,717334
Year=2009,105
Free=true; Genre=FINANCE; Year=2010,219
Free=false; Genre=GAME_EDUCATIONAL; Year=2014,216
Free=true; Genre=GAME_TRIVIA; Year=2016,717
Free=true; Genre=BOOKS_AND_REFERENCE; Year=2017,7549
Free=true; Genre=PHOTOGRAPHY; Year=2022,7071
Free=true; Genre=GAME_WORD; Year=2018,1045
Free=false; Genre=GAME_RACING; Year=2020,53
Free=false; Genre=GAME_TRIVIA; Year=2018,33
Free=false; Genre=ART_AND_DESIGN; Year=2015,13
Free=false; Genre=BUSINESS; Year=2019,218
Free=true; Genre=GAME_EDUCATIONAL; Year=2022,4045
Free=false; Genre=FINANCE; Year=2018,152
Free=true; Genre=GAME_ROLE_PLAYING; Year=2018,1259
Free=true; Genre=TRAVEL_AND_LOCAL; Year=2019,15911
Free=true; Genre=EDUCATION; Year=2018,34250
Free=false; Genre=ENTERTAINMENT; Year=2015,227
Free=true; Genre=GAME_SPORTS; Year=2013,185
Free=true; Genre=EDUCATION; Year=2014,6014
Free=true; Genre=ENTERTAINMENT; Year=2013,1734
Free=false; Genre=GAME_ADVENTURE; Year=2016,193
Free=false; Genre=COMMUNICATION; Year=2019,190
Free=false; Genre=FOOD_AND_DRINK; Year=2018,65
Free=true; Genre=GAME_CASINO; Year=2019,707
Free=false; Genre=HEALTH_AND_FITNESS; Year=2013,176
Free=true; Genre=AUTO_AND_VEHICLES; Year=2013,86
Free=true; Genre=AUTO_AND_VEHICLES; Year=2019,7516
Free=false; Genre=FOOD_AND_DRINK; Year=2021,102
Free=false; Genre=GAME_SPORTS; Year=2022,39
Free=true; Genre=ART_AND_DESIGN; Year=2013,22
Free=true; Genre=FOOD_AND_DRINK; Year=2020,34004
Free=true; Genre=TOOLS; Year=2020,44962
Free=true; Genre=GAME_BOARD; Year=2015,588
Free=false; Genre=GAME_SPORTS; Year=2019,41
Free=false; Genre=GAME_WORD; Year=2021,38
Free=true; Genre=EDUCATION; Year=2019,55522
Free=true; Genre=BUSINESS; Year=2020,54970
Free=false; Genre=BUSINESS; Year=2012,93
Free=true; Genre=PRODUCTIVITY; Year=2020,30872
Free=true; Genre=COMMUNICATION; Year=2014,1207
Free=true; Genre=GAME_ACTION; Year=2017,2393
Free=false; Genre=ART_AND_DESIGN; Year=2017,49
Free=false; Genre=EDUCATION; Year=2013,723
Free=false; Genre=FOOD_AND_DRINK; Year=2017,52
Free=true; Genre=GAME_CARD; Year=2021,1883
Free=false; Genre=COMMUNICATION; Year=2017,66
Free=false; Genre=EDUCATION; Year=2012,658
Free=false; Genre=FINANCE; Year=2014,128
Free=true; Genre=GAME_ACTION; Year=2018,2794
Free=false; Genre=GAME_ARCADE; Year=2022,193
Free=false; Genre=GAME_SIMULATION; Year=2022,117
Free=false; Genre=GAME_STRATEGY; Year=2013,39
Free=true; Genre=SHOPPING; Year=2018,10124
Free=false; Genre=EVENTS; Year=2021,18
Free=true; Genre=GAME_PUZZLE; Year=2018,5224
Free=true; Genre=GAME_BOARD; Year=2022,2144
Free=false; Genre=GAME_RACING; Year=2021,49
Free=true; Genre=BUSINESS; Year=2021,48839
Free=false; Genre=EDUCATION; Year=2016,1267
Free=true; Genre=GAME_ARCADE; Year=2010,69
Free=true; Genre=WEATHER; Year=2021,1935
Free=true; Genre=BUSINESS; Year=2016,10659
Free=true; Genre=GAME_MUSIC; Year=2019,582
Free=true; Genre=EDUCATION; Year=2012,1842
Free=false; Genre=ENTERTAINMENT; Year=2018,357
Free=true; Genre=FINANCE; Year=2012,1251
Free=false; Genre=FINANCE; Year=2013,99
Free=false; Genre=GAME_CARD; Year=2014,44
